제품,제품특성
B002-01156-00001,단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리유청단백질(WPI) 단백질성분:가수분해유청단백질(WPH) 단백질성분:분리대두단백질(ISP) 단백질성분:산양유단백질 단백질:25g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 제품용량:7일분 :1개 3W 프로틴 마스터 280g
B002-01156-00002,제품유형:일반식품 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A종류:비타민C 분자량:비오틴 섭취대상:어류 제품타입:300Da 제품용량:성인남녀 섭취횟수:분말 1일 총 섭취량:1개월분 섭취방법:하루 한 번 :1포 2g x 30포
B002-00441-00001,HCA:1600mg 1일 총 섭취량:4정 제품타입:정 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 700mg x 80정
B002-02699-00001,제품용량_A:24개월분 250g
B002-03710-00001,"제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비타민C 분자량:어류 섭취대상:2000 제품타입:성인남녀 제품용량:분말 섭취횟수:2개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :바로 음용, 제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비타민C 분자량:어류 섭취대상:2000 제품타입:성인남녀 제품용량:분말 섭취횟수:2개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :바로 음용, 제품유형:일반식품 섭취대상:성인남녀 제품타입:분말 제품용량:2개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개, 제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비타민C 분자량:어류 섭취대상:2500 제품타입:성인남녀 제품용량:분말 섭취횟수:1개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :바로 음용, 영양소 원료명(식약처고시)_A종류_A:비타민C 2g x 60포"
B002-00644-00001,제품유형:일반식품 주요 기능성(식약처인증):피부건강 콜라겐 펩타이드:2000mg 종류:어류 분자량:500Da 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:14일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 20g x 14포
B002-00644-00002,제품유형:일반식품 콜라겐 펩타이드:2000mg 분자량:500Da 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:14일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 20g x 14포
B002-01453-00001,제품유형:일반식품 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A종류:비타민C 분자량:비오틴 섭취대상:어류 제품타입:300Da 제품용량:성인남녀 섭취횟수:분말 1일 총 섭취량:1개월분 섭취방법:하루 한 번 :1포 2.5g x 30포
B002-00436-00001,"제품타입:캡슐 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:3캡슐 제품용량:1개월분 주요 기능성(식약처인증):체지방 감소 공액리놀레산:4200mg :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:2정 제품용량:1개월분 주요 기능성(식약처인증):해당 없음 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):셀레늄(셀렌) 영양소 원료명(식약처고시):망간 제품유형:일반식품 :1개, 실리마린:130mg 1일 총 섭취량:1정 제품용량:1개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):간건강 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):아연 :1개, 실리마린:130mg 1일 총 섭취량:1정 제품용량:1개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):간건강 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):비타민B12 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):엽산 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):셀레늄(셀렌) :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:2정 제품용량:1개월분 제품유형:일반식품 :4개, 주요 기능성(식약처인증):혈행개선 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민E DHA+EPA:900mg 종류_A제품타입:rTG 제품용량:캡슐 1일 총 섭취량:1개월분 섭취방법:2캡슐 :물과 함께, 로르산:70mg 1일 총 섭취량:1캡슐 제품용량:1개월분 제품타입:캡슐 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남성 주요 기능성(식약처인증):전립선 영양소 원료명(식약처고시):아연 :1개, 실리마린:130mg 1일 총 섭취량:1정 제품용량:3개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):간건강 영양소 원료명(식약처고시):비타민E 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):아연 :1개, 실리마린:130mg 1일 총 섭취량:1정 제품용량:3개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):간건강 영양소 원료명(식약처고시):비타민E 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):아연 :1개, 주요 기능성(식약처인증):혈행개선 DHA+EPA:900mg 제품타입:캡슐 섭취대상:성인남녀 제품용량:1개월분 1일 총 섭취량:1캡슐 섭취횟수:하루 한 번 섭취방법:물과 함께 :1개, 주요 기능성(식약처인증):혈행개선 영양소 원료명(식약처고시):비타민E DHA+EPA:900mg 종류:rTG 종류:동물성 제품타입:캡슐 섭취대상:성인남녀 제품용량:1개월분 1일 총 섭취량:2캡슐 섭취횟수:하루 한 번 섭취방법:물과 함께 :1개 180캡슐"
B002-01730-00001,제품유형:건강기능식품 주요 기능성(식약처인증):피부건강 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):비타민B12 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):구리 영양소 원료명(식약처고시):단백질 섭취대상:성인남녀 제품타입:캡슐 제품용량:1개월분 섭취횟수:하루 두 번 1일 총 섭취량:4캡슐 :1개 120캡슐
B002-00282-00001,"용량:150ml(g) 개당 열량:6kcal, 용량:150ml(g) 개당 열량:6kcal, 용량:150ml(g), 용량:150ml(g) 개당 열량:6kcal, 용량:150ml(g) 개당 열량:6kcal 150ml"
B002-03057-00001,제품타입:정 섭취방법:물과 함께 섭취횟수:하루 두 번 1일 총 섭취량:2정 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):아연 카테킨:300mg :1개 1000mg x 60정
B002-01876-00001,제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:6정 제품용량:1개월분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):칼슘 :1개 1000mg x 180정
B002-02275-00003,단백질종류:식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:10g 섭취대상:성인남녀 맛:곡물 섭취방법:물에 섞어서 :1개 50g
B002-03231-00001,제품유형:일반식품 종류:어류 분자량:1980 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 20g x 30개입
B002-01720-00001,제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비타민C 분자량:어류 섭취대상:300Da 제품타입:성인남녀 제품용량:분말 섭취횟수:1개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :바로 음용 2.5g x 30포
B002-01496-00001,영양소 원료명(식약처고시)_A:식이섬유 95ml
B002-02269-00001,섭취대상:성인남녀 맛_A섭취횟수:딸기 제품용량:하루 한 번 :1개월분 750g
B002-02269-00002,"섭취대상:성인남녀 맛_A제품용량:초코 :1개월분, 섭취대상:성인남녀 맛_A섭취횟수:딸기 제품용량:하루 한 번 :1개월분 750g"
B002-02028-00001,영양소 원료명(식약처고시)_A제품타입:식이섬유 섭취방법:분말 섭취대상:물과 함께 섭취횟수:성인남녀 1일 총 섭취량:하루 두 번 제품용량:2포 :15일분 5g x 30포
B002-03567-00001,단백질종류:동물성+식물성 단백질:18g 섭취대상:성인남녀 섭취방법:물에 섞어서 1일 총 섭취량:3포 섭취횟수:하루 세 번 제품용량:5일분 :1개 35g x 15포
B002-02252-00001,"제품타입:캡슐 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1캡슐 제품용량:6개월분 주요 기능성(식약처인증):체지방 감소 :1개, 제품타입:캡슐 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1캡슐 제품용량:2개월분 :1개 855mg x 180베지캡슐"
B002-03318-00001,제품유형:일반식품 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 20g x 15개입
B002-01069-00001,단백질:2.5g 1일 총 섭취량:1개 :1개 21g x 12개입
B002-00356-00001,제품유형:건강기능식품 주요 기능성(식약처인증):피부건강 영양소 원료명(식약처고시):비타민C 콜라겐 펩타이드:2.7141mg 종류:어류 분자량:512Da 섭취대상:성인남녀 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:물과 함께 :1개 6g x 30포
B002-02891-00001,제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 :1개 1000mg x 14정
B002-02216-00001,제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비타민C 분자량:어류 섭취대상:2000Da 제품타입:성인남녀 제품용량:분말 섭취횟수:1개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :바로 음용 2.5g x 30포
B002-02216-00003,HCA:1000mg 영양소 원료명(식약처고시):해당 없음 1일 총 섭취량:2정 제품용량:1개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 1000 1100mg x 60정
B002-01240-00001,"제품타입_A:액상, 제품타입_A:액상 3000 20ml x 14포"
B002-01240-00002,피부타입:모든피부용 세트수량:3종세트 주요제품특징:촉촉함(수분공급) 주요제품특징:저자극 세부제품특징:흡수력 세부제품특징:피지케어 세부제품특징:피부탄력 세부제품특징:모공케어 세부제품특징:피부결정돈 4000 25ml x 14개입
B002-02563-00001,"HCA:750mg 1일 총 섭취량:2포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물에 섞어서 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:800mg 영양소 원료명(식약처고시):식이섬유 1일 총 섭취량:2포 제품용량:15일분 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:850mg 영양소 원료명(식약처고시):식이섬유 1일 총 섭취량:2포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:850mg 영양소 원료명(식약처고시):식이섬유 1일 총 섭취량:2포 제품용량:15일분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, 주요 기능성(식약처인증):콜레스테롤 영양소 원료명(식약처고시):식이섬유 제품타입:분말 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 식이섬유:7225mg :1개, 제품유형:일반식품 영양소 원료명(식약처고시):비타민C 콜라겐 펩타이드:1000mg 종류:어류 분자량:500Da 섭취대상:성인남녀 제품타입:분말 제품용량:15일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2정 제품용량:2개월분 영양소 원료명(식약처고시):해당 없음 :1개 5g x 30포"
B002-02563-00002,제품유형:일반식품 영양소 원료명(식약처고시):비타민C 콜라겐 펩타이드:1000mg 종류:어류 분자량:500Da 섭취대상:성인남녀 제품타입:분말 제품용량:15일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 5g x 15포
B002-02563-00003,"HCA:850mg 영양소 원료명(식약처고시):식이섬유 1일 총 섭취량:2포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:850mg 영양소 원료명(식약처고시):식이섬유 1일 총 섭취량:2포 제품용량:15일분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 5g x 30포 + 라인핏 5g x 30포"
B002-01689-00002,중량:1000g 개당열량:3933kcal :1개 250g 10개입
B002-01689-00003,"단백질종류:식물성 단백질성분:분리대두단백질(ISP) 단백질:14g :1개, 단백질종류:식물성 단백질성분:분리대두단백질(ISP) 단백질:14g :1개 50gx3개입"
B002-01880-00001,제품유형:일반식품 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A종류:비타민C 분자량:비오틴 섭취대상:어류 제품타입:300Da 제품용량:성인남녀 섭취횟수:분말 1일 총 섭취량:1개월분 섭취방법:하루 한 번 :1포 1박스
B002-02203-00001,"제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 제품용량:개인별 다름 :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 제품용량:2개월분 영양소 원료명(식약처고시)_A비오틴:비오틴 :90000µg, 제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비오틴 분자량:어류 섭취대상:506Da 제품타입:성인남녀 제품용량:정 섭취횟수:개인별 다름 1일 총 섭취량:하루 한 번 섭취방법:1정 :물과 함께 500 0.5g x 60정"
B002-02203-00002,섭취방법:물과 함께 섭취횟수:하루 한 번 1일 총 섭취량:2정 제품용량:1개월분 :1개 600mg x 60정
B002-00578-00001,"HCA:750mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 1일 총 섭취량:2정 제품용량:1개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 1일 총 섭취량:2정 제품용량:2개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 60정"
B002-00059-00001,제품유형:일반식품 콜라겐 펩타이드:1250mg 종류:어류 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:25일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 25g x 25포
B002-03150-00001,HCA:2800mg 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민E 영양소 원료명(식약처고시):비타민K 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):비타민B12 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):엽산 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):철 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):구리 영양소 원료명(식약처고시):셀레늄(셀렌) 영양소 원료명(식약처고시):요오드 영양소 원료명(식약처고시):망간 영양소 원료명(식약처고시):몰리브덴 영양소 원료명(식약처고시):크롬 1일 총 섭취량:6정 제품용량:1개월분 제품타입:정 섭취횟수:하루 세 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 22 180정
B002-00546-00001,제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:4정 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):셀레늄(셀렌) 카테킨:300mg 56정
B002-03481-00001,"종류:웨이 단백질종류:동물성 단백질성분:농축유청단백질(WPC) 단백질:18g 섭취대상:성인남녀 맛:초코 섭취방법:물에 섞어서 1일 총 섭취량:1스푼 섭취횟수:하루 한 번 제품용량:100일분 :1개, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:22g 섭취대상:성인남녀 맛:무맛 섭취방법:물에 섞어서 1일 총 섭취량:1스푼 섭취횟수:하루 한 번 :1개, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:22g 섭취대상:성인남녀 맛:바닐라 섭취방법:물에 섞어서 :1개, 종류:웨이 단백질:21g 섭취대상:성인남녀 맛:초코 섭취방법:물에 섞어서 1일 총 섭취량:1스푼 섭취횟수:하루 한 번, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:23g 섭취대상:성인남녀 섭취방법:물에 섞어서 1일 총 섭취량:1스푼 섭취횟수:하루 한 번 제품용량:40일분, 종류:웨이 단백질:21g 섭취대상:성인남녀 섭취방법:물에 섞어서 1kg 2.5kg 대용량 impact-whey-protein"
B002-02063-00002,"영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 종류:어류 제품타입:액상 :1개, 제품유형:일반식품 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A섭취대상:비타민C 제품타입:비오틴 제품용량:성인남녀 섭취횟수:분말 1일 총 섭취량:28일분 섭취방법:하루 한 번 :1포 10000 125ml x 24개입"
B002-02063-00003,"영양소 원료명(식약처고시)_A섭취대상:식이섬유 맛_A섭취방법:성인남녀 :곡물, 영양소 원료명(식약처고시)_A섭취대상:식이섬유 섭취방법:성인남녀 1일 총 섭취량:물에 섞어서 섭취횟수:1포 제품용량:하루 한 번 :10일분, 영양소 원료명(식약처고시)_A섭취대상:식이섬유 섭취방법:성인남녀 :물에 섞어서, 영양소 원료명(식약처고시)_A단백질종류:비타민D 단백질성분:식물성 단백질성분:분리유청단백질(WPI) 단백질:분리대두단백질(ISP) 섭취대상:20g 맛_A섭취방법:성인남녀 1일 총 섭취량:우유 섭취횟수:물에 섞어서 제품용량:3스푼 :하루 한 번, 종류:BCAA 단백질성분:분리유청단백질(WPI) 단백질:20g 맛:커피 섭취대상:성인남녀 섭취방법:바로 음용 :1개, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:20g 맛:초코 섭취대상:성인남녀 섭취방법:바로 음용 1일 총 섭취량:1개 섭취횟수:하루 한 번 :1개, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:20g 섭취대상:성인남녀 맛:초코 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 제품용량:개인별 다름 :1개, 주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 종류:웨이 단백질종류:동물성+식물성 단백질성분:분리유청단백질(WPI) 단백질성분:분리대두단백질(ISP) 단백질:20g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 :1개, 주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 종류:아미노산 단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:20g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 :1개, 단백질종류:동물성+식물성 단백질:12g 맛_A섭취대상:곡물 섭취방법:성인남녀 :바로 음용, 영양소 원료명(식약처고시)_A단백질종류:비타민D 단백질성분:동물성+식물성 단백질:분리대두단백질(ISP) 맛_A섭취대상:8g 섭취방법:곡물 1일 총 섭취량:성인남녀 섭취횟수:바로 음용 :2개, 주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 영양소 원료명(식약처고시):식이섬유 단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:20g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 제품용량:7일분 :1개, 종류_A단백질성분:웨이 단백질:분리유청단백질(WPI) 맛:20g 섭취대상:복숭아 섭취방법:성인남녀 :바로 음용, 영양소 원료명(식약처고시)_A단백질종류:비타민D 단백질성분:동물성+식물성 단백질:분리대두단백질(ISP) 맛_A섭취대상:8g 섭취방법:곡물 1일 총 섭취량:성인남녀 섭취횟수:바로 음용 :2포, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:20g 섭취대상:성인남녀 맛:복숭아 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 :1개, 단백질:12g :1개, 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A단백질성분:비타민D 단백질성분:아연 단백질:분리유청단백질(WPI) 섭취대상:분리대두단백질(ISP) 맛:20g 섭취방법:성인남녀 1일 총 섭취량:우유 섭취횟수:물에 섞어서 제품용량:2포 :하루 한 번, 영양소 원료명(식약처고시)_A단백질종류:비타민D 단백질성분:동물성+식물성 단백질성분:분리대두단백질(ISP) 단백질:우유단백질(MPC) 맛_A섭취대상:8g 섭취방법:곡물 1일 총 섭취량:성인남녀 섭취횟수:바로 음용 :2개, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:20g 섭취대상:성인남녀 맛:초코 섭취방법:물에 섞어서 1일 총 섭취량:1포 섭취횟수:하루 한 번 제품용량:10일분 :1개, 종류_A단백질성분:웨이 단백질:분리유청단백질(WPI) 섭취대상:20g 맛:성인남녀 섭취방법:복숭아 1일 총 섭취량:물에 섞어서 섭취횟수:3스푼 :하루 한 번, 종류:웨이 단백질종류:동물성 단백질성분:분리유청단백질(WPI) 단백질:20g 맛:복숭아 섭취대상:성인남녀 섭취방법:바로 음용 1일 총 섭취량:1개 섭취횟수:하루 한 번 :1개, 종류_A단백질성분:웨이 단백질:분리유청단백질(WPI) 섭취대상:20g 맛:성인남녀 섭취방법:복숭아 1일 총 섭취량:물에 섞어서 섭취횟수:1포 제품용량:하루 한 번 :10일분, 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 종류:어류 제품타입:액상 :1개, 주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:20g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:2포 섭취횟수:하루 한 번 제품용량:7일분 :1개, 영양소 원료명(식약처고시)_A단백질종류:비타민D 단백질성분:동물성+식물성 단백질:분리대두단백질(ISP) 맛_A섭취대상:8g 섭취방법:곡물 1일 총 섭취량:성인남녀 섭취횟수:바로 음용 :2개, 주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):단백질 단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:18g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 :1개, 주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:20g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:2포 섭취횟수:하루 한 번 제품용량:10일분 :1개, 종류_A단백질성분:웨이 단백질:분리유청단백질(WPI) 섭취대상:20g 맛:성인남녀 섭취방법:복숭아 1일 총 섭취량:물에 섞어서 섭취횟수:1포 제품용량:하루 한 번 :10일분, 맛_A:곡물, 단백질성분:분리대두단백질(ISP) 단백질:12g :1개, 영양소 원료명(식약처고시)_A맛_A:비타민D, 제품유형:일반식품 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A섭취대상:비타민C 제품타입:비오틴 제품용량:성인남녀 섭취횟수:분말 1일 총 섭취량:28일분 섭취방법:하루 한 번 :1포 25 그레인 36g x 10포"
B002-02063-00004,주요 기능성(식약처인증):영양보충 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 영양소 원료명(식약처고시):식이섬유 단백질종류:동물성+식물성 단백질성분:농축유청단백질(WPC) 단백질성분:분리대두단백질(ISP) 단백질:20g 섭취대상:성인남녀 맛:우유 섭취방법:물에 섞어서 1일 총 섭취량:3스푼 섭취횟수:하루 한 번 제품용량:7일분 :1개 294g
